Datum,BHKW1_Biogas,BHKW2_Biogas,Methangehalt CH4,TS-Wert,pH-Wert
734140.916,2627.245321,5408.331848,51.34792451,7.566980061,7.685663835
734140.9993,2663.994896,5419.99838,51.12850185,7.199568735,7.678911564
734141.0827,2601.342037,5390.837384,51.2610725,6.990542994,7.468803486
734141.166,2538.67537,5361.670718,51.39369203,7.428813185,7.649213284
734141.2493,2476.008704,5332.504051,51.52631157,7.260387587,7.672069208
734141.3327,2413.342037,5303.337384,51.65893111,7.049328987,7.676830422
734141.416,2350.67537,5274.170718,51.79155065,7.342251053,7.653465342
734141.4993,2288.008704,5245.004051,51.92417019,7.355660497,7.64292205
734141.5827,2225.342037,5215.837384,52.05678973,7.153664108,7.676424915
734141.666,2162.67537,5186.670718,52.18940927,6.964069888,7.643103028
734141.7493,2100.008704,5157.504051,52.32202881,7.214737379,7.707679538
734141.8327,2037.342037,5128.337384,52.45464835,7.389768721,7.736116182
734141.916,1974.67537,5099.170718,52.58726789,7.079350161,7.680955898
734141.9993,1912.008704,5070.004051,52.71988743,7.222150827,7.666272629
734142.0827,1916.332782,5075.832591,52.76812512,7.092162941,7.646443104
734142.166,1920.666165,5081.665991,52.81635108,6.922550559,7.61119057
734142.2493,1924.999549,5087.499392,52.86457704,7.291408926,7.656775252
734142.3327,1929.332932,5093.332793,52.912803,7.254861993,7.647458985
734142.416,1933.666316,5099.166194,52.96102896,7.074023652,7.60991197
734142.4993,1937.999699,5104.999595,53.00925492,6.815091678,7.645790587
734142.5827,1942.333083,5110.832996,53.05748088,7.254865428,7.664498686
734142.666,1946.666466,5116.666397,53.10570684,7.084051237,7.636895299
734142.7493,1950.99985,5122.499797,53.1539328,6.910976309,7.558823341
734142.8327,1955.333233,5128.333198,53.20215877,7.217156888,7.626324738
734142.916,1959.666617,5134.166599,53.25038473,7.146760269,7.613073756
734142.9993,1964,5140,53.29861069,7.006073394,7.605222768
734143.0827,1970.999919,5157.499797,53.15393647,7.176292787,7.567520667
734143.166,1977.999838,5174.999595,53.00926226,7.165698595,7.635145544
734143.2493,1984.999757,5192.499392,52.86458804,6.949066286,7.578152191
734143.3327,1991.999676,5209.99919,52.71991382,6.821308475,7.62069068
734143.416,1998.999595,5227.498987,52.57523961,7.184853926,7.592214199
734143.4993,2005.999514,5244.998785,52.43056539,7.022445544,7.629792144
734143.5827,2012.999433,5262.498582,52.28589117,6.730306585,7.615883064
734143.666,2019.999352,5279.99838,52.14121696,7.187135479,7.588983928
734143.7493,2026.999271,5297.498177,51.99654274,6.992974193,7.554682406
734143.8327,2033.99919,5314.997975,51.85186853,6.957365349,7.570375464
734143.916,2040.999109,5332.497772,51.70719431,6.996557609,7.586334494
734143.9993,2047.999028,5349.997569,51.56252009,7.01832803,7.571178255
734144.0827,2045.583669,5341.667824,51.64447154,6.902556191,7.608155277
734144.166,2043.167002,5333.334491,51.72645447,6.579139127,7.600994129
734144.2493,2040.750336,5325.001157,51.8084374,7.120983345,7.593592199
734144.3327,2038.333669,5316.667824,51.89042034,7.003063888,7.623147744
734144.416,2035.917002,5308.334491,51.97240327,6.699320013,7.571860034
734144.4993,2033.500336,5300.001157,52.0543862,1.865175939,7.174077195
734144.5827,2031.083669,5291.667824,52.13636913,0.228713909,7.099790018
734144.666,2028.667002,5283.334491,52.21835206,6.220137603,7.527681591
734144.7493,2026.250336,5275.001157,52.30033499,7.15593308,7.628114266
734144.8327,2023.833669,5266.667824,52.38231792,6.958884251,7.602187921
734144.916,2021.417002,5258.334491,52.46430085,5.760224144,7.601861719
734144.9993,2019.000336,5250.001157,52.54628378,6.739396521,7.547348965
734145.0827,2012.000891,5254.166136,52.3968159,6.531679025,7.434413813
734145.166,2005.00081,5258.332851,52.24731586,6.439707575,7.52675932
734145.2493,1998.000729,5262.499566,52.09781583,5.737011842,7.485864509
734145.3327,1991.000648,5266.666281,51.94831579,6.600994422,7.590267283
734145.416,1984.000567,5270.832996,51.79881576,6.405264215,7.561449173
734145.4993,1977.000486,5274.999711,51.64931573,5.898404826,7.555801495
734145.5827,1970.000405,5279.166426,51.49981569,6.658371436,7.57872444
734145.666,1963.000324,5283.33314,51.35031566,6.324588163,7.5729813
734145.7493,1956.000243,5287.499855,51.20081562,5.875471165,7.561352719
734145.8327,1949.000162,5291.66657,51.05131559,5.172947015,7.515142453
734145.916,1942.000081,5295.833285,50.90181556,6.785322026,7.578638702
734145.9993,1935,5300,50.75231552,6.98436557,7.561533256
734146.0827,1940.666601,5294.166734,50.84635371,5.495542054,7.584523151
734146.166,1946.333202,5288.333468,50.94039191,6.704561229,7.561266981
734146.2493,1951.999803,5282.500203,51.0344301,6.2900162,7.567140717
734146.3327,1957.666404,5276.666937,51.12846829,5.932763512,7.607649717
734146.416,1963.333005,5270.833671,51.22250649,5.333612129,7.49796364
734146.4993,1968.999606,5265.000405,51.31654468,6.450895764,7.572906279
734146.5827,1974.666208,5259.167139,51.41058287,6.139960502,7.549896608
734146.666,1980.332809,5253.333873,51.50462106,4.873435548,7.578778024
734146.7493,1985.99941,5247.500608,51.59865926,6.461998217,7.503568452
734146.8327,1991.666011,5241.667342,51.69269745,5.863425686,7.497727868
734146.916,1997.332612,5235.834076,51.78673564,5.69095062,7.451485452
734146.9993,2002.999213,5230.00081,51.88077383,7.082313099,7.531710528
734147.0827,2024.247295,5237.499045,51.8807869,6.174725372,7.544002434
734147.166,2045.49754,5244.999132,51.8807869,5.679355187,7.549735849
734147.2493,2066.747786,5252.499219,51.8807869,5.149413092,7.590224412
734147.3327,2087.998032,5259.999306,51.8807869,6.393325882,7.497717151
734147.416,2109.248278,5267.499392,51.8807869,6.047754253,7.474762056
734147.4993,2130.498524,5274.999479,51.8807869,6.300732839,7.578724436
734147.5827,2151.74877,5282.499566,51.8807869,6.540591317,7.552083511
734147.666,2172.999016,5289.999653,51.8807869,5.977816274,7.520886585
734147.7493,2194.249262,5297.49974,51.8807869,5.702867564,7.549768
734147.8327,2215.499508,5304.999826,51.8807869,6.704861341,7.57287413
734147.916,2236.749754,5312.499913,51.8807869,6.543509201,7.526427095
734147.9993,2258,5320,51.8807869,6.927765145,7.525476948
734148.0827,2287.166329,5322.499971,51.9603577,4.931242368,7.509355453
734148.166,2316.332658,5324.999942,52.0399285,6.566743933,7.433856525
734148.2493,2345.498987,5327.499913,52.1194993,6.013760015,7.503482717
734148.3327,2374.665316,5329.999884,52.19907011,5.702739042,7.474579868
734148.416,2403.831645,5332.499855,52.27864091,6.865890909,7.520650812
734148.4993,2432.997975,5334.999826,52.35821171,6.57372526,7.538519114
734148.5827,2462.164304,5337.499797,52.43778252,5.827803451,7.590160113
734148.666,2491.330633,5339.999769,52.51735332,6.612611252,7.555565717
734148.7493,2520.496962,5342.49974,52.59692412,6.209854562,7.538129698
734148.8327,2549.663291,5344.999711,52.67649493,6.071416737,7.532417717
734148.916,2578.82962,5347.499682,52.75606573,7.117650268,7.462856044
734148.9993,2607.995949,5349.999653,52.83563653,7.047971863,7.538452119
734149.0827,2598.834606,5334.168866,53.0068236,6.266782515,7.543905981
734149.166,2589.66794,5318.335532,53.1780234,5.414694434,7.538129698
734149.2493,2580.501273,5302.502199,53.3492232,6.554891291,7.555544283
734149.3327,2571.334606,5286.668866,53.520423,6.174939715,7.532428434
734149.416,2562.16794,5270.835532,53.6916228,5.345657679,7.497706434
734149.4993,2553.001273,5255.002199,53.8628226,6.624206688,7.468739283
734149.5827,2543.834606,5239.168866,54.0340224,6.439879093,7.549864455
734149.666,2534.66794,5223.335532,54.20522219,5.944530352,7.567129998
734149.7493,2525.501273,5207.502199,54.37642199,7.11264129,7.548318587
734149.8327,2516.334606,5191.668866,54.54762179,6.451217318,7.480624077
734149.916,2507.16794,5175.835532,54.71882159,6.485639197,7.544281078
734149.9993,2498.001273,5160.002199,54.89002139,6.679612724,7.576540047
